rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
278,Simmons Bank Field,16000,Pine Bluff,Arkansas,2000,Football,Arkansas–Pine Bluff Golden Lions (NCAA),No Image,
279,Harry Turpin Stadium,15971,Natchitoches,Louisiana,1975,Football,"Northwestern State Demons (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Harry_Turpin_Stadium_%28Natchitoches%2C_LA%2C_USA%29.jpg/150px-Harry_Turpin_Stadium_%28Natchitoches%2C_LA%2C_USA%29.jpg,"[31.74750935, 31.74750935]"
280,Hersheypark Stadium,15641,Hershey,Pennsylvania,1939,"Football, soccer",,No Image,"[40.29045575, 40.29045575]"
281,James R. Hallford Stadium,15600,Clarkston,Georgia,1968,Football,,No Image,
282,Jerry Richardson Stadium,15314,Charlotte,North Carolina,2013,Football,Charlotte 49ers (NCAA),No Image,"[35.31047405, 35.31047405]"
283,Stadium Bowl,15000,Tacoma,Washington,1910,Football,,No Image,"[47.2670434, 47.2670434]"
284,Quigley Stadium,15000,Little Rock,Arkansas,1936,Football,,No Image,"[34.736921, 34.736921]"
285,Greenway Avenue Stadium,15000,Cumberland,Maryland,1937,Football,,No Image,"[39.6425904, 39.6425904]"
286,J. Birney Crum Stadium,15000,Allentown,Pennsylvania,1948,"Football, soccer",,No Image,"[40.5961445, 40.5961445]"
287,Dick Bivins Stadium,15000,Amarillo,Texas,1950,Football,,No Image,"[35.20324425, 35.20324425]"
288,Saluki Stadium,15000,Carbondale,Illinois,2010,Football,"Southern Illinois Salukis (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Saluki_Stadium.jpg/150px-Saluki_Stadium.jpg,"[37.7084507, 37.7084507]"
289,Sloan Park,15000,Mesa,Arizona,2014,Baseball,Mesa Solar Sox (AFL),No Image,"[33.4313901, 33.4313901]"
290,Panther Stadium at Blackshear Field,15000,Prairie View,Texas,2016,Football,Prairie View A&M Panthers (NCAA),No Image,
291,Homer Bryce Stadium,14575,Nacogdoches,Texas,1973,Football,Stephen F. Austin Lumberjacks (NCAA),No Image,"[31.62559975, 31.62559975]"
292,Drake Stadium,14557,Des Moines,Iowa,1925,"Football, soccer",Drake Bulldogs (NCAA),No Image,"[41.6049816, 41.6049816]"
293,Smith's Ballpark,14511,Salt Lake City,Utah,1994,Baseball,Salt Lake Bees (PCL),No Image,"[40.7407084, 40.7407084]"
294,Braly Municipal Stadium,14215,Florence,Alabama,1949,Football,North Alabama Lions (NCAA),No Image,"[34.81074, 34.81074]"
295,Louis Armstrong Stadium,14053,New York,New York,2018,Tennis,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/2021_US_Open_Armstrong_Stadium_practice.jpg/150px-2021_US_Open_Armstrong_Stadium_practice.jpg,"[40.7510137, 40.7510137]"
296,Bowers Stadium,14000,Huntsville,Texas,1986,Football,Sam Houston Bearkats (NCAA),No Image,"[30.71380225, 30.71380225]"
297,Rhodes Stadium,14000,Elon,North Carolina,2001,Football,Elon Phoenix (NCAA),No Image,"[36.11007775, 36.11007775]"
298,Rochester Community Sports Complex Stadium,13768,Rochester,New York,2006,Soccer,"Flower City Union (NISA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/PAETEC_Park_overview.JPG/150px-PAETEC_Park_overview.JPG,"[43.1622154, 43.1622154]"
299,Bob Waters Field at EJ Whitmire Stadium,13742,Cullowhee,North Carolina,1974,Football,Western Carolina Catamounts (NCAA),No Image,
300,McAllen Veterans Memorial Stadium,13500,McAllen,Texas,1976,"Football, soccer",,No Image,"[26.22388805, 26.22388805]"
301,Innovative Field,13500,Rochester,New York,1996,Baseball,Rochester Red Wings (IL),No Image,"[43.1583013, 43.1583013]"
302,Hancock Stadium,13391,Normal,Illinois,1963,Football,Illinois State Redbirds (NCAA),No Image,"[40.5123522, 40.5123522]"
303,Fisher Stadium,13132,Easton,Pennsylvania,1926,Football,Lafayette Leopards (NCAA),No Image,"[40.70051605, 40.70051605]"
